ts_utc,market_id,inplay,t_to_off,runners
2025-09-07T19:26:01.229025+00:00,1.247478336,False,-12421,6
2025-09-07T19:26:02.357330+00:00,1.247478336,False,-12422,6
2025-09-07T19:26:03.486210+00:00,1.247478336,False,-12423,6
2025-09-07T19:26:04.606661+00:00,1.247478336,False,-12424,6
2025-09-07T19:26:05.730666+00:00,1.247478336,False,-12425,6
2025-09-07T19:26:06.854935+00:00,1.247478336,False,-12426,6
2025-09-07T19:26:07.992334+00:00,1.247478336,False,-12427,6
2025-09-07T19:26:09.113160+00:00,1.247478336,False,-12429,6
2025-09-07T19:26:10.242358+00:00,1.247478336,False,-12430,6
2025-09-07T19:26:11.370722+00:00,1.247478336,False,-12431,6
2025-09-07T19:26:12.520490+00:00,1.247478336,False,-12432,6
2025-09-07T19:26:13.640949+00:00,1.247478336,False,-12433,6
2025-09-07T19:26:14.770408+00:00,1.247478336,False,-12434,6
2025-09-07T19:26:15.920447+00:00,1.247478336,False,-12435,6
2025-09-07T19:26:17.038672+00:00,1.247478336,False,-12437,6
2025-09-07T19:26:18.157286+00:00,1.247478336,False,-12438,6
2025-09-07T19:26:19.277546+00:00,1.247478336,False,-12439,6
2025-09-07T19:26:20.408234+00:00,1.247478336,False,-12440,6
2025-09-07T19:26:21.528105+00:00,1.247478336,False,-12441,6
2025-09-07T19:26:22.647011+00:00,1.247478336,False,-12442,6
2025-09-07T19:26:23.767579+00:00,1.247478336,False,-12443,6
2025-09-07T19:26:24.885378+00:00,1.247478336,False,-12444,6
2025-09-07T19:26:26.035429+00:00,1.247478336,False,-12446,6
2025-09-07T19:26:27.155768+00:00,1.247478336,False,-12447,6
2025-09-07T19:26:28.276131+00:00,1.247478336,False,-12448,6
2025-09-07T19:26:29.414354+00:00,1.247478336,False,-12449,6
2025-09-07T19:26:30.539717+00:00,1.247478336,False,-12450,6
2025-09-07T19:26:31.676305+00:00,1.247478336,False,-12451,6
2025-09-07T19:26:32.806322+00:00,1.247478336,False,-12452,6
2025-09-07T19:26:33.924801+00:00,1.247478336,False,-12453,6
2025-09-07T19:26:35.066770+00:00,1.247478336,False,-12455,6
2025-09-07T19:26:36.187048+00:00,1.247478336,False,-12456,6
2025-09-07T19:26:37.319054+00:00,1.247478336,False,-12457,6
2025-09-07T19:26:38.457130+00:00,1.247478336,False,-12458,6
2025-09-07T19:26:39.575355+00:00,1.247478336,False,-12459,6
2025-09-07T19:26:40.699379+00:00,1.247478336,False,-12460,6
2025-09-07T19:26:41.836337+00:00,1.247478336,False,-12461,6
2025-09-07T19:26:42.955914+00:00,1.247478336,False,-12462,6
2025-09-07T19:26:44.080431+00:00,1.247478336,False,-12464,6
2025-09-07T19:26:45.208836+00:00,1.247478336,False,-12465,6
2025-09-07T19:26:46.335602+00:00,1.247478336,False,-12466,6
2025-09-07T19:26:47.465014+00:00,1.247478336,False,-12467,6
2025-09-07T19:26:48.584419+00:00,1.247478336,False,-12468,6
2025-09-07T19:26:49.706000+00:00,1.247478336,False,-12469,6
2025-09-07T19:26:50.841723+00:00,1.247478336,False,-12470,6
2025-09-07T19:26:51.973454+00:00,1.247478336,False,-12471,6
2025-09-07T19:26:53.107569+00:00,1.247478336,False,-12473,6
2025-09-07T19:26:54.229935+00:00,1.247478336,False,-12474,6
2025-09-07T19:26:55.347644+00:00,1.247478336,False,-12475,6
2025-09-07T19:26:56.478698+00:00,1.247478336,False,-12476,6
2025-09-07T19:26:57.630322+00:00,1.247478336,False,-12477,6
2025-09-07T19:26:58.756617+00:00,1.247478336,False,-12478,6
2025-09-07T19:26:59.882745+00:00,1.247478336,False,-12479,6
2025-09-07T19:27:01.014178+00:00,1.247478336,False,-12481,6
2025-09-07T19:27:02.132444+00:00,1.247478336,False,-12482,6
2025-09-07T19:27:03.268083+00:00,1.247478336,False,-12483,6
2025-09-07T19:27:04.405828+00:00,1.247478336,False,-12484,6
2025-09-07T19:27:05.530659+00:00,1.247478336,False,-12485,6
2025-09-07T19:27:06.671293+00:00,1.247478336,False,-12486,6
2025-09-07T19:27:07.797657+00:00,1.247478336,False,-12487,6
2025-09-07T19:27:08.916660+00:00,1.247478336,False,-12488,6
2025-09-07T19:27:10.047927+00:00,1.247478336,False,-12490,6
2025-09-07T19:27:11.187927+00:00,1.247478336,False,-12491,6
2025-09-07T19:27:12.310341+00:00,1.247478336,False,-12492,6
2025-09-07T19:27:13.452156+00:00,1.247478336,False,-12493,6
2025-09-07T19:27:14.574146+00:00,1.247478336,False,-12494,6
2025-09-07T19:27:15.691788+00:00,1.247478336,False,-12495,6
2025-09-07T19:27:16.815388+00:00,1.247478336,False,-12496,6
2025-09-07T19:27:17.934547+00:00,1.247478336,False,-12497,6
2025-09-07T19:27:19.057766+00:00,1.247478336,False,-12499,6
2025-09-07T19:27:20.176370+00:00,1.247478336,False,-12500,6
2025-09-07T19:27:21.332620+00:00,1.247478336,False,-12501,6
2025-09-07T19:27:22.459875+00:00,1.247478336,False,-12502,6
2025-09-07T19:27:23.577400+00:00,1.247478336,False,-12503,6
2025-09-07T19:27:24.709608+00:00,1.247478336,False,-12504,6
2025-09-07T19:27:25.829790+00:00,1.247478336,False,-12505,6
2025-09-07T19:27:26.957361+00:00,1.247478336,False,-12506,6
2025-09-07T19:27:28.108410+00:00,1.247478336,False,-12508,6
2025-09-07T19:27:29.296121+00:00,1.247478336,False,-12509,6
2025-09-07T19:27:30.413622+00:00,1.247478336,False,-12510,6
2025-09-07T19:27:31.530310+00:00,1.247478336,False,-12511,6
2025-09-07T19:27:32.647984+00:00,1.247478336,False,-12512,6
2025-09-07T19:27:33.778111+00:00,1.247478336,False,-12513,6
2025-09-07T19:27:34.897881+00:00,1.247478336,False,-12514,6
2025-09-07T19:27:36.032339+00:00,1.247478336,False,-12516,6
2025-09-07T19:27:37.157173+00:00,1.247478336,False,-12517,6
2025-09-07T19:27:38.282072+00:00,1.247478336,False,-12518,6
2025-09-07T19:27:39.410747+00:00,1.247478336,False,-12519,6
2025-09-07T19:27:40.534784+00:00,1.247478336,False,-12520,6
2025-09-07T19:27:41.679246+00:00,1.247478336,False,-12521,6
2025-09-07T19:27:42.809292+00:00,1.247478336,False,-12522,6
2025-09-07T19:27:43.927671+00:00,1.247478336,False,-12523,6
2025-09-07T19:27:45.042399+00:00,1.247478336,False,-12525,6
2025-09-07T19:27:46.208135+00:00,1.247478336,False,-12526,6
2025-09-07T19:27:47.330785+00:00,1.247478336,False,-12527,6
2025-09-07T19:27:48.461423+00:00,1.247478336,False,-12528,6
2025-09-07T19:27:49.585056+00:00,1.247478336,False,-12529,6
2025-09-07T19:27:50.699769+00:00,1.247478336,False,-12530,6
2025-09-07T19:27:51.822293+00:00,1.247478336,False,-12531,6
2025-09-07T19:27:52.939557+00:00,1.247478336,False,-12532,6
2025-09-07T19:27:54.071621+00:00,1.247478336,False,-12534,6
2025-09-07T19:27:55.190244+00:00,1.247478336,False,-12535,6
2025-09-07T19:27:56.312092+00:00,1.247478336,False,-12536,6
2025-09-07T19:27:57.472236+00:00,1.247478336,False,-12537,6
2025-09-07T19:27:58.603722+00:00,1.247478336,False,-12538,6
2025-09-07T19:27:59.721910+00:00,1.247478336,False,-12539,6
2025-09-07T19:28:00.842921+00:00,1.247478336,False,-12540,6
2025-09-07T19:28:01.959539+00:00,1.247478336,False,-12541,6
2025-09-07T19:28:03.094511+00:00,1.247478336,False,-12543,6
2025-09-07T19:28:04.223476+00:00,1.247478336,False,-12544,6
2025-09-07T19:28:05.349449+00:00,1.247478336,False,-12545,6
2025-09-07T19:28:06.473317+00:00,1.247478336,False,-12546,6
2025-09-07T19:28:07.615228+00:00,1.247478336,False,-12547,6
2025-09-07T19:28:08.766105+00:00,1.247478336,False,-12548,6
2025-09-07T19:28:09.881975+00:00,1.247478336,False,-12549,6
2025-09-07T19:28:11.009388+00:00,1.247478336,False,-12551,6
2025-09-07T19:28:12.126194+00:00,1.247478336,False,-12552,6
2025-09-07T19:28:13.244911+00:00,1.247478336,False,-12553,6
2025-09-07T19:28:14.365484+00:00,1.247478336,False,-12554,6
2025-09-07T19:28:15.489885+00:00,1.247478336,False,-12555,6
2025-09-07T19:28:16.608202+00:00,1.247478336,False,-12556,6
2025-09-07T19:28:17.728248+00:00,1.247478336,False,-12557,6
2025-09-07T19:28:18.845677+00:00,1.247478336,False,-12558,6
2025-09-07T19:28:19.968624+00:00,1.247478336,False,-12559,6
2025-09-07T19:28:21.090737+00:00,1.247478336,False,-12561,6
2025-09-07T19:28:22.236859+00:00,1.247478336,False,-12562,6
2025-09-07T19:28:23.362931+00:00,1.247478336,False,-12563,6
2025-09-07T19:28:24.495679+00:00,1.247478336,False,-12564,6
2025-09-07T19:28:25.613145+00:00,1.247478336,False,-12565,6
2025-09-07T19:28:26.734888+00:00,1.247478336,False,-12566,6
2025-09-07T19:28:27.852568+00:00,1.247478336,False,-12567,6
2025-09-07T19:28:28.971377+00:00,1.247478336,False,-12568,6
2025-09-07T19:28:30.090030+00:00,1.247478336,False,-12570,6
2025-09-07T19:28:31.210122+00:00,1.247478336,False,-12571,6
2025-09-07T19:28:32.330341+00:00,1.247478336,False,-12572,6
2025-09-07T19:28:33.457484+00:00,1.247478336,False,-12573,6
2025-09-07T19:28:34.592546+00:00,1.247478336,False,-12574,6
2025-09-07T19:28:35.729459+00:00,1.247478336,False,-12575,6
2025-09-07T19:28:36.858262+00:00,1.247478336,False,-12576,6
2025-09-07T19:28:37.976980+00:00,1.247478336,False,-12577,6
2025-09-07T19:28:39.097447+00:00,1.247478336,False,-12579,6
2025-09-07T19:28:40.220276+00:00,1.247478336,False,-12580,6
2025-09-07T19:28:41.338703+00:00,1.247478336,False,-12581,6
2025-09-07T19:28:42.458761+00:00,1.247478336,False,-12582,6
2025-09-07T19:28:43.574593+00:00,1.247478336,False,-12583,6
2025-09-07T19:28:44.692820+00:00,1.247478336,False,-12584,6
2025-09-07T19:28:45.815833+00:00,1.247478336,False,-12585,6
2025-09-07T19:28:46.946960+00:00,1.247478336,False,-12586,6
2025-09-07T19:28:48.074536+00:00,1.247478336,False,-12588,6
2025-09-07T19:28:49.198809+00:00,1.247478336,False,-12589,6
2025-09-07T19:28:50.319071+00:00,1.247478336,False,-12590,6
2025-09-07T19:28:51.458521+00:00,1.247478336,False,-12591,6
2025-09-07T19:28:52.586418+00:00,1.247478336,False,-12592,6
2025-09-07T19:28:53.721116+00:00,1.247478336,False,-12593,6
2025-09-07T19:28:54.838989+00:00,1.247478336,False,-12594,6
2025-09-07T19:28:55.973504+00:00,1.247478336,False,-12595,6
2025-09-07T19:28:57.113790+00:00,1.247478336,False,-12597,6
2025-09-07T19:28:58.237549+00:00,1.247478336,False,-12598,6
2025-09-07T19:28:59.357431+00:00,1.247478336,False,-12599,6
2025-09-07T19:29:00.472717+00:00,1.247478336,False,-12600,6
2025-09-07T19:29:01.593147+00:00,1.247478336,False,-12601,6
2025-09-07T19:29:02.719099+00:00,1.247478336,False,-12602,6
2025-09-07T19:29:03.843791+00:00,1.247478336,False,-12603,6
2025-09-07T19:29:04.960683+00:00,1.247478336,False,-12604,6
2025-09-07T19:29:06.085498+00:00,1.247478336,False,-12606,6
2025-09-07T19:29:07.199685+00:00,1.247478336,False,-12607,6
2025-09-07T19:29:08.325056+00:00,1.247478336,False,-12608,6
2025-09-07T19:29:09.445649+00:00,1.247478336,False,-12609,6
2025-09-07T19:29:10.587516+00:00,1.247478336,False,-12610,6
2025-09-07T19:29:11.704599+00:00,1.247478336,False,-12611,6
2025-09-07T19:29:12.834934+00:00,1.247478336,False,-12612,6
2025-09-07T19:29:13.956012+00:00,1.247478336,False,-12613,6
2025-09-07T19:29:15.089546+00:00,1.247478336,False,-12615,6
2025-09-07T19:29:16.215708+00:00,1.247478336,False,-12616,6
2025-09-07T19:29:17.336366+00:00,1.247478336,False,-12617,6
2025-09-07T19:29:18.455427+00:00,1.247478336,False,-12618,6
2025-09-07T19:29:19.575711+00:00,1.247478336,False,-12619,6
2025-09-07T19:29:20.697949+00:00,1.247478336,False,-12620,6
2025-09-07T19:29:21.815999+00:00,1.247478336,False,-12621,6
2025-09-07T19:29:22.942205+00:00,1.247478336,False,-12622,6
2025-09-07T19:29:24.070077+00:00,1.247478336,False,-12624,6
2025-09-07T19:29:25.192957+00:00,1.247478336,False,-12625,6
2025-09-07T19:29:26.367592+00:00,1.247478336,False,-12626,6
2025-09-07T19:29:27.486297+00:00,1.247478336,False,-12627,6
2025-09-07T19:29:28.620061+00:00,1.247478336,False,-12628,6
2025-09-07T19:29:29.743531+00:00,1.247478336,False,-12629,6
2025-09-07T19:29:30.874204+00:00,1.247478336,False,-12630,6
2025-09-07T19:29:31.991826+00:00,1.247478336,False,-12631,6
2025-09-07T19:29:33.128440+00:00,1.247478336,False,-12633,6
2025-09-07T19:29:34.245183+00:00,1.247478336,False,-12634,6
2025-09-07T19:29:35.388889+00:00,1.247478336,False,-12635,6
2025-09-07T19:29:36.545706+00:00,1.247478336,False,-12636,6
2025-09-07T19:29:37.779634+00:00,1.247478336,False,-12637,6
2025-09-07T19:29:38.906185+00:00,1.247478336,False,-12638,6
2025-09-07T19:29:40.032426+00:00,1.247478336,False,-12640,6
2025-09-07T19:29:41.276227+00:00,1.247478336,False,-12641,6
2025-09-07T19:29:42.429116+00:00,1.247478336,False,-12642,6
2025-09-07T19:29:43.558082+00:00,1.247478336,False,-12643,6
2025-09-07T19:29:44.685794+00:00,1.247478336,False,-12644,6
2025-09-07T19:29:45.814316+00:00,1.247478336,False,-12645,6
2025-09-07T19:29:46.941399+00:00,1.247478336,False,-12646,6
2025-09-07T19:29:48.069053+00:00,1.247478336,False,-12648,6
2025-09-07T19:29:49.187869+00:00,1.247478336,False,-12649,6
2025-09-07T19:29:50.306488+00:00,1.247478336,False,-12650,6
2025-09-07T19:29:51.426161+00:00,1.247478336,False,-12651,6
2025-09-07T19:29:52.543816+00:00,1.247478336,False,-12652,6
2025-09-07T19:29:53.663647+00:00,1.247478336,False,-12653,6
2025-09-07T19:29:54.785917+00:00,1.247478336,False,-12654,6
2025-09-07T19:29:55.918258+00:00,1.247478336,False,-12655,6
2025-09-07T19:29:57.035057+00:00,1.247478336,False,-12657,6
2025-09-07T19:29:58.160529+00:00,1.247478336,False,-12658,6
2025-09-07T19:29:59.277155+00:00,1.247478336,False,-12659,6
2025-09-07T19:30:00.402493+00:00,1.247478336,False,-12660,6
2025-09-07T19:30:01.534873+00:00,1.247478336,False,-12661,6
2025-09-07T19:30:02.667910+00:00,1.247478336,False,-12662,6
2025-09-07T19:30:03.810333+00:00,1.247478336,False,-12663,6
2025-09-07T19:30:04.928596+00:00,1.247478336,False,-12664,6
2025-09-07T19:30:06.045048+00:00,1.247478336,False,-12666,6
2025-09-07T19:30:07.165051+00:00,1.247478336,False,-12667,6
2025-09-07T19:30:08.286713+00:00,1.247478336,False,-12668,6
2025-09-07T19:30:09.415530+00:00,1.247478336,False,-12669,6
2025-09-07T19:30:10.532772+00:00,1.247478336,False,-12670,6
2025-09-07T19:30:11.649601+00:00,1.247478336,False,-12671,6
2025-09-07T19:30:12.771965+00:00,1.247478336,False,-12672,6
2025-09-07T19:30:13.898984+00:00,1.247478336,False,-12673,6
2025-09-07T19:30:15.017711+00:00,1.247478336,False,-12675,6
2025-09-07T19:30:16.139165+00:00,1.247478336,False,-12676,6
2025-09-07T19:30:17.278725+00:00,1.247478336,False,-12677,6
2025-09-07T19:30:18.399809+00:00,1.247478336,False,-12678,6
2025-09-07T19:30:19.517434+00:00,1.247478336,False,-12679,6
2025-09-07T19:30:20.634707+00:00,1.247478336,False,-12680,6
2025-09-07T19:30:21.790323+00:00,1.247478336,False,-12681,6
2025-09-07T19:30:22.917037+00:00,1.247478336,False,-12682,6
2025-09-07T19:30:24.043415+00:00,1.247478336,False,-12684,6
2025-09-07T19:30:25.167229+00:00,1.247478336,False,-12685,6
2025-09-07T19:30:26.352781+00:00,1.247478336,False,-12686,6
2025-09-07T19:30:27.508606+00:00,1.247478336,False,-12687,6
2025-09-07T19:30:28.630840+00:00,1.247478336,False,-12688,6
2025-09-07T19:30:29.750605+00:00,1.247478336,False,-12689,6
2025-09-07T19:30:30.872862+00:00,1.247478336,False,-12690,6
2025-09-07T19:30:32.061394+00:00,1.247478336,False,-12692,6
2025-09-07T19:30:33.198738+00:00,1.247478336,False,-12693,6
2025-09-07T19:30:34.321690+00:00,1.247478336,False,-12694,6
2025-09-07T19:30:35.451566+00:00,1.247478336,False,-12695,6
2025-09-07T19:30:36.571864+00:00,1.247478336,False,-12696,6
2025-09-07T19:30:37.726999+00:00,1.247478336,False,-12697,6
2025-09-07T19:30:38.847969+00:00,1.247478336,False,-12698,6
2025-09-07T19:30:39.983636+00:00,1.247478336,False,-12699,6
2025-09-07T19:30:41.110712+00:00,1.247478336,False,-12701,6
2025-09-07T19:30:42.234711+00:00,1.247478336,False,-12702,6
2025-09-07T19:30:43.366776+00:00,1.247478336,False,-12703,6
2025-09-07T19:30:44.485843+00:00,1.247478336,False,-12704,6
2025-09-07T19:30:45.631958+00:00,1.247478336,False,-12705,6
2025-09-07T19:30:46.750412+00:00,1.247478336,False,-12706,6
2025-09-07T19:30:47.886841+00:00,1.247478336,False,-12707,6
2025-09-07T19:30:49.014541+00:00,1.247478336,False,-12709,6
2025-09-07T19:30:50.141009+00:00,1.247478336,False,-12710,6
2025-09-07T19:30:51.282673+00:00,1.247478336,False,-12711,6
2025-09-07T19:30:52.436341+00:00,1.247478336,False,-12712,6
2025-09-07T19:30:53.572699+00:00,1.247478336,False,-12713,6
2025-09-07T19:30:54.721661+00:00,1.247478336,False,-12714,6
2025-09-07T19:30:55.844363+00:00,1.247478336,False,-12715,6
2025-09-07T19:30:56.968300+00:00,1.247478336,False,-12716,6
2025-09-07T19:30:58.091118+00:00,1.247478336,False,-12718,6
2025-09-07T19:30:59.224262+00:00,1.247478336,False,-12719,6
2025-09-07T19:31:00.351724+00:00,1.247478336,False,-12720,6
2025-09-07T19:31:01.477637+00:00,1.247478336,False,-12721,6
2025-09-07T19:31:02.610510+00:00,1.247478336,False,-12722,6
2025-09-07T19:31:03.733336+00:00,1.247478336,False,-12723,6
2025-09-07T19:31:04.850570+00:00,1.247478336,False,-12724,6
2025-09-07T19:31:05.982567+00:00,1.247478336,False,-12725,6
2025-09-07T19:31:07.102939+00:00,1.247478336,False,-12727,6
2025-09-07T19:31:08.234602+00:00,1.247478336,False,-12728,6
2025-09-07T19:31:09.359197+00:00,1.247478336,False,-12729,6
2025-09-07T19:31:10.481434+00:00,1.247478336,False,-12730,6
2025-09-07T19:31:11.633675+00:00,1.247478336,False,-12731,6
2025-09-07T19:31:12.761605+00:00,1.247478336,False,-12732,6
2025-09-07T19:31:13.901585+00:00,1.247478336,False,-12733,6
2025-09-07T19:31:15.030152+00:00,1.247478336,False,-12735,6
2025-09-07T19:31:16.184036+00:00,1.247478336,False,-12736,6
2025-09-07T19:31:17.314705+00:00,1.247478336,False,-12737,6
2025-09-07T19:31:18.436534+00:00,1.247478336,False,-12738,6
2025-09-07T19:31:19.624336+00:00,1.247478336,False,-12739,6
2025-09-07T19:31:20.748803+00:00,1.247478336,False,-12740,6
2025-09-07T19:31:21.867979+00:00,1.247478336,False,-12741,6
2025-09-07T19:31:23.006555+00:00,1.247478336,False,-12743,6
